word,word_length
Womin,5
djeka,5
In,2
Aboriginal,10
and,3
Torres,6
Strait,6
Islander,8
culture,7
it,2
is,2
respectful,10
to,2
formally,8
welcome,7
people,6
country,7
or,2
land,4
At,2
RMIT,4
we,2
do,2
this,4
with,4
the,3
following,9
acknowledgement,15
would,5
like,4
acknowledge,11
Wurundjeri,10
of,2
Kulin,5
Nations,7
as,2
Traditional,11
Owners,6
land,4
on,2
which,5
University,10
stands,6
respectfully,12
recognise,9
Elders,6
past,4
present,7
future,6
respect,7
unique,6
contribution,12
that,4
bring,5
our,3
communities,11
also,4
proud,5
provide,7
study,5
cultural,8
&,1
personal,8
support,7
students,8
their,5
learning,8
journey,7
further,7
explore,7
experience,10
more,4
about,5
Australian,10
Indigenous,10
by,2
enrolling,9
specialist,10
courses,7
visiting,8
education,9
centre,6
Ngarara,7
Willim,6
interacting,11
staff,5
commitment,10
Act,3
legally,7
endorses,8
use,3
expertise,9
resources,9
involve,7
its,3
teaching,8
research,8
advancement,11
knowledge,9
activities,10
thereby,7
contribute,10
realising,9
aspirations,11
safeguarding,12
ancient,7
rich,4
heritage,8
Further,7
Strategic,9
Academic,8
Plans,5
strengthens,11
engaging,8
Equity,6
Diversity,9
clearly,7
explains,8
recognises,10
inherent,8
value,5
perspectives,12
aims,4
position,8
itself,6
both,4
an,2
employer,8
choice,6
preferred,9
place,5
Islanders,9
undertaken,10
firm,4
lead,4
areas,5
reconciliation,14
development,11
values,6
diversity,9
believes,8
all,3
should,6
be,2
treated,7
dignity,7
seeks,5
creating,8
a,1
nation,6
provides,8
equal,5
life,4
chances,7
works,5
collaboration,13
Excerpt,7
from,4